排名,書名,作者,出版商,定價,折扣,售價,出版日期
68,機器學習模擬應用｜將合成資料運用於AI (Practical Simulations for Machine Learning),"Paris and Mars Buttfield-Addison, Tim Nugent & Jon... 楊新章 譯",歐萊禮,680,79,537,2023/3/3
69,練核心從裡強到外：全面了解 Linux 基礎架構,笨叔,深智數位,1000,79,790,2021/5/20
70,大師養成起手式：從核心真正了解 Linux 運作原理,笨叔、陳悅 著,深智數位,880,79,695,2021/8/19
71,世界第一簡單的 Python「超」入門 - 零基礎 OK！ChatGPT 隨時當助教！,鎌田正浩 著 夏萱 譯；施威銘研究室 監修,旗標科技,499,79,394,2023/7/31
72,OAuth 2.0 從入門到實戰：利用驗證和授權守護 API 的安全,周建毅（Miles）,博碩文化,600,78,468,2022/12/16
73,和艦長一起 30 天玩轉 GitLab【第二版】（iT邦幫忙鐵人賽系列書）,陳正瑋,博碩文化,650,78,507,2022/12/8
74,"精通 Python｜運用簡單的套件進行現代運算, 2/e (Introducing Python: Modern Computing in Simple Packages, 2/e)",Bill Lubanovic 著 賴屹民 譯,歐萊禮,880,79,695,2020/6/2
75,為你自己學 Git,五倍紅寶石 高見龍,博碩文化,500,85,425,2017/11/29
76,"CODE COMPLETE：軟體開發實務指南, 2/e (中文版) (Code Complete: A Practical Handbook of Software Construction, 2/e)",Steve McConnell 金戈、湯凌、陳碩、張菲 譯，裘宗燕 審校，博碩文化 編譯,博碩文化,1280,85,1088,2018/11/28
77,ASP.NET Core 6 實戰守則：超易懂的跨平台開發入門教學 (iT邦幫忙鐵人賽系列書),林正祥 ATai Lin,博碩文化,600,78,468,2022/3/16
78,從 AI 到 生成式 AI：40個零程式的實作體驗，培養新世代人工智慧素養,羅光志 博士,旗標科技,560,79,442,2023/8/18
79,Python：加密貨幣 CTA 量化交易 111個實戰技巧,劉承彥,博碩文化,600,78,468,2023/9/1
80,Windows Server 2022 系統與網站建置實務,戴有煒,碁峰資訊,720,79,569,2022/1/14
81,重新認識 Vue.js：008天絕對看不完的 Vue.js 3 指南,許國政（Kuro） 著,博碩文化,600,78,468,2021/2/9
82,Power BI X ChatGPT：實作大數據篩選分析與商業圖表設計,吳燦銘,博碩文化,600,78,468,2023/6/2
83,AI 最前哨：PHP8 與 My SQL— 網站規劃&視覺化顯示最完整攻略,葉建榮,深智數位,780,79,616,2023/8/25
84,Specification by Example 中文版：團隊如何交付正確的軟體 (Specification by Example: How Successful Teams Deliver the Right Software),Gojko Adzic 著、張昌貴、張博超、石永超 譯、傅育文 審校,博碩文化,420,78,328,2014/7/29
85,TypeScript 邁向專家之路：零基礎 JavaScript 打通 Angular、React 與 Vue.js 前端框架實戰 (Essential TypeScript: From Beginner to Pro),Adam Freeman 著 許文達 譯,旗標科技,880,85,748,2021/11/8
86,今晚來點 Web 前端效能優化大補帖：一次搞定指標 × 工具 × 技巧，打造超高速網站（iThome鐵人賽系列書）,莫力全 Kyle Mo,博碩文化,650,78,507,2022/9/16
87,"玩真的！Git ✕ GitHub 實戰手冊 - coding 實境、協同開發、雲端同步, 用最具臨場感的開發實例紮實學會！ (Git for Programmers)",Jesse Liberty 著 林子政 譯；施威銘研究室 監修,旗標科技,580,79,458,2022/10/20
88,資料科學基礎數學 (Essential Math for Data Science),Thomas Nield 著 楊新章 譯,歐萊禮,680,79,537,2023/4/11
89,"實戰 SEO｜60天讓網站流量增加 20倍, 4/e",昝輝(Zac),碁峰資訊,650,79,513,2023/7/20
90,AI 必須！從做中學貝氏統計 – 從事機器學習、深度學習、資料科學、大數據分析一定要懂的統計利器 (修訂第二版),"Therese M. Donovan, Ruth M. Mickey 著 黃駿 譯 施威銘研究室 監修",旗標科技,1200,79,948,2023/4/21
91,"React Native 學習手冊, 2/e (Learning React Native: Building Native Mobile Apps with JavaScript, 2/e)",Bonnie Eisenman 張靜雯,歐萊禮,580,79,458,2018/6/19
92,"深度學習實務應用｜雲端、行動與邊緣裝置 (Practical Deep Learning for Cloud, Mobile and Edge)","Anirudh Koul, Siddha Ganju, Meher Kasam 著 楊新章 譯",歐萊禮,880,79,695,2021/8/10
93,邊玩邊學，使用 Scratch 學習 AI 程式設計專案大集合,"石原淳也, 小川智史, 倉本大資 著 吳嘉芳 譯",歐萊禮,480,79,379,2023/5/29
94,Go 學習手冊 (Learning Go),Jon Bodner 著 賴屹民 譯,歐萊禮,580,79,458,2021/8/12
95,機器學習｜特徵工程 (Feature Engineering for Machine Learning),"Alice Zheng, Amanda Casari 著 楊新章 譯",歐萊禮,520,79,411,2020/4/30
96,"網站擷取｜使用 Python, 2/e (Web Scraping with Python: Collecting More Data from the Modern Web, 2/e)",Ryan Mitchell 楊尊一,歐萊禮,580,79,458,2018/10/9
97,"深入淺出設計模式, 2/e (Head First Design Patterns: Building Extensible and Maintainable Object-Oriented Software, 2/e)","Eric Freeman , Elisabeth Robson 著 賴屹民 譯",歐萊禮,980,79,774,2021/9/2
98,"操作介面設計模式, 3/e (Designing Interfaces, 3/e)","Jenifer Tidwell, Charles Brewer, Aynne Valencia 著 張靜雯 譯",歐萊禮,980,79,774,2021/1/4
99,"Python 錦囊妙計, 3/e (Python Cookbook, 3/e)","David Beazley, Brian K. Jones 著、黃銘偉 譯",歐萊禮,880,79,695,2014/4/14
100,圖解 TCP/IP 網路通訊協定 (涵蓋IPv6)(2021修訂版),"井上直也,村山公保,竹下隆史,荒井透,苅田幸雄 著 吳嘉芳 譯",碁峰資訊,620,79,490,2021/2/18
