MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
1,2014-05-27,Edge of Tomorrow,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",Doug Liman,"Action, Science Fiction",7.616
2,2013-04-10,Oblivion,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",Joseph Kosinski,"Action, Science Fiction, Adventure, Mystery",6.63
3,2011-12-07,Mission: Impossible - Ghost Protocol,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",Brad Bird,"Action, Thriller, Adventure",7.079
4,2015-09-17,Sicario,"Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber",Denis Villeneuve,"Action, Crime, Thriller",7.393
5,2018-04-03,A Quiet Place,"John Krasinski, Emily Blunt, Millicent Simmonds, Noah Jupe",John Krasinski,"Horror, Drama, Science Fiction",7.396
6,1997-11-18,Titanic,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",James Cameron,"Drama, Romance",7.904
7,2014-10-23,Nightcrawler,"Jake Gyllenhaal, Riz Ahmed, Rene Russo, Bill Paxton",Dan Gilroy,"Crime, Drama, Thriller",7.706
8,2005-11-16,Harry Potter and the Goblet of Fire,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson",Mike Newell,"Adventure, Fantasy",7.813
9,2008-02-08,In Bruges,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy",Martin McDonagh,"Comedy, Drama, Crime",7.488
10,1995-09-22,Se7en,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini",David Fincher,"Crime, Mystery, Thriller",8.371
11,1994-09-23,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Frank Darabont,"Drama, Crime",8.705
12,2014-07-25,Lucy,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked",Luc Besson,"Action, Science Fiction",6.445
13,2008-10-29,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",Marc Forster,"Adventure, Action, Thriller, Crime",6.323
14,2021-07-07,Black Widow,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour",Cate Shortland,"Action, Adventure, Science Fiction",7.263
15,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),"Michael Keaton, Emma Stone, Zach Galifianakis, Edward Norton",Alejandro González Iñárritu,"Drama, Comedy",7.467
16,2019-12-31,The Grudge,"Andrea Riseborough, Demián Bichir, John Cho, Lin Shaye",Nicolas Pesce,"Horror, Mystery",5.5
17,2016-05-25,Warcraft,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",Duncan Jones,"Action, Adventure, Fantasy",6.371
18,2006-11-22,Déjà Vu,"Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel",Tony Scott,"Action, Thriller, Science Fiction",6.9
19,2004-04-09,Shaun of the Dead,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis",Edgar Wright,"Horror, Comedy",7.541
20,2007-02-14,Hot Fuzz,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",Edgar Wright,"Crime, Action, Comedy",7.552
21,2011-02-14,Paul,"Simon Pegg, Nick Frost, Seth Rogen, Jason Bateman",Greg Mottola,"Adventure, Comedy, Science Fiction",6.712
22,2016-11-10,Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Denis Villeneuve,"Drama, Science Fiction, Mystery",7.599
23,2013-01-17,Hansel & Gretel: Witch Hunters,"Jeremy Renner, Gemma Arterton, Famke Janssen, Pihla Viitala",Tommy Wirkola,"Fantasy, Horror, Action",6.046
24,2012-08-08,The Bourne Legacy,"Jeremy Renner, Rachel Weisz, Edward Norton, Stacy Keach",Tony Gilroy,"Action, Thriller",6.218
25,2012-04-25,The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon,"Science Fiction, Action, Adventure",7.712
26,2018-04-25,Avengers: Infinity War,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Joe Russo,"Adventure, Action, Science Fiction",8.248
27,2008-04-30,Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",Jon Favreau,"Action, Science Fiction, Adventure",7.642
28,2018-06-27,Sicario: Day of the Soldado,"Benicio del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",Stefano Sollima,"Action, Crime, Thriller",6.911
29,2021-10-21,The French Dispatch,"Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux",Wes Anderson,"Drama, Comedy",7.065
30,2007-06-13,No Country for Old Men,"Josh Brolin, Javier Bardem, Tommy Lee Jones, Woody Harrelson",Ethan Coen,"Crime, Drama, Thriller",7.936
31,2018-05-10,Deadpool 2,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",David Leitch,"Action, Comedy, Adventure",7.489
32,2013-01-09,Gangster Squad,"Josh Brolin, Ryan Gosling, Sean Penn, Nick Nolte",Ruben Fleischer,"Crime, Drama, Action, Thriller",6.358
33,2012-10-11,Argo,"Ben Affleck, Bryan Cranston, Alan Arkin, Scoot McNairy",Ben Affleck,"Drama, Thriller",7.276
34,2021-05-21,A Quiet Place Part II,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",John Krasinski,"Science Fiction, Thriller, Horror",7.5
35,2017-10-13,Wonderstruck,"Oakes Fegley, Millicent Simmonds, Julianne Moore, Michelle Williams",Todd Haynes,Drama,6.0
36,2017-11-13,Wonder,"Jacob Tremblay, Julia Roberts, Owen Wilson, Izabela Vidovic",Stephen Chbosky,"Drama, Family",8.14
37,2004-03-19,Eternal Sunshine of the Spotless Mind,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo",Michel Gondry,"Science Fiction, Drama, Romance",8.099
38,2008-12-10,The Reader,"Kate Winslet, Ralph Fiennes, David Kross, Lena Olin",Stephen Daldry,"Drama, Romance",7.452
39,1985-07-03,Back to the Future,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson",Robert Zemeckis,"Adventure, Comedy, Science Fiction",8.317
40,1989-11-22,Back to the Future Part II,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",Robert Zemeckis,"Adventure, Comedy, Science Fiction",7.759
41,1990-11-30,Misery,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen",Rob Reiner,"Drama, Thriller",7.754
42,1993-10-01,M. Butterfly,"Jeremy Irons, John Lone, Barbara Sukowa, Ian Richardson",David Cronenberg,"Romance, Drama",6.6
43,2018-09-28,Venom,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",Ruben Fleischer,"Science Fiction, Action",6.826
44,2020-11-20,Sound of Metal,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff",Darius Marder,"Drama, Music",7.738
45,2015-09-23,The Intern,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",Nancy Meyers,Comedy,7.203
46,2019-02-01,Velvet Buzzsaw,"Rene Russo, Jake Gyllenhaal, Zawe Ashton, Tom Sturridge",Dan Gilroy,"Thriller, Mystery, Horror",5.359
47,2001-11-16,Harry Potter and the Philosopher's Stone,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",Chris Columbus,"Adventure, Fantasy",7.914
48,2002-11-13,Harry Potter and the Chamber of Secrets,"Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh",Chris Columbus,"Adventure, Fantasy",7.72
49,2004-05-31,Harry Potter and the Prisoner of Azkaban,"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane",Alfonso Cuarón,"Adventure, Fantasy",8.016
50,2017-03-16,Beauty and the Beast,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",Bill Condon,"Family, Fantasy, Romance",6.969
51,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes",David Yates,"Fantasy, Adventure",8.099
52,2010-11-17,Harry Potter and the Deathly Hallows: Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones",David Yates,"Adventure, Fantasy",7.755
53,2014-02-26,The Grand Budapest Hotel,"Ralph Fiennes, F. Murray Abraham, Tony Revolori, Mathieu Amalric",Wes Anderson,"Comedy, Drama",8.051
54,1993-12-15,Schindler's List,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg,"Drama, History, War",8.567
55,2010-11-12,127 Hours,"James Franco, Amber Tamblyn, Kate Mara, Clémence Poésy",Danny Boyle,"Adventure, Drama, Thriller",7.079
56,2009-08-02,Inglourious Basterds,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Quentin Tarantino,"Drama, Thriller, War",8.218
57,2013-06-19,World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",Marc Forster,"Action, Drama, Horror, Science Fiction, Thriller",6.811
58,1999-10-15,Fight Club,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf",David Fincher,Drama,8.441
59,2013-04-18,Iron Man 3,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",Shane Black,"Action, Adventure, Science Fiction",6.927
60,1997-09-12,The Game,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn",David Fincher,"Drama, Thriller, Mystery",7.6
61,2012-08-30,The Possession,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport",Ole Bornedal,"Horror, Thriller, Drama",6.037
62,1995-11-10,Ace Ventura: When Nature Calls,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",Steve Oedekerk,"Crime, Comedy, Adventure",6.314
63,1998-12-25,Patch Adams,"Robin Williams, Monica Potter, Philip Seymour Hoffman, Daniel London",Tom Shadyac,"Comedy, Drama",7.307
64,1990-07-03,Die Hard 2,"Bruce Willis, Bonnie Bedelia, William Sadler, Art Evans",Renny Harlin,"Action, Thriller",6.941
65,2003-11-21,Oldboy,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok",Park Chan-wook,"Drama, Thriller, Mystery, Action",8.262
66,2010-08-12,I Saw the Devil,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin",Kim Jee-woon,"Thriller, Horror",7.798
67,2020-12-16,Wonder Woman 1984,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",Patty Jenkins,"Action, Adventure, Fantasy",6.453
68,2017-10-12,Geostorm,"Gerard Butler, Alexandra Maria Lara, Jim Sturgess, Abbie Cornish",Dean Devlin,"Action, Science Fiction, Thriller",6.118
69,2018-10-24,Sink or Swim,"Mathieu Amalric, Guillaume Canet, Benoît Poelvoorde, Jean-Hugues Anglade",Gilles Lellouche,"Drama, Comedy",6.918
70,2012-10-24,Skyfall,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",Sam Mendes,"Action, Adventure, Thriller",7.234
71,2006-11-14,Casino Royale,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Martin Campbell,"Adventure, Action, Thriller",7.552
72,2016-09-27,Miss Peregrine's Home for Peculiar Children,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",Tim Burton,"Fantasy, Adventure",6.829
73,2019-07-03,Midsommar,"Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter",Ari Aster,"Horror, Drama, Mystery",7.164
74,2019-12-25,Little Women,"Saoirse Ronan, Florence Pugh, Emma Watson, Eliza Scanlen",Greta Gerwig,"Drama, Romance",7.889
75,1999-04-16,The Mummy,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers,"Adventure, Action, Fantasy",6.921
76,2005-02-08,Constantine,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",Francis Lawrence,"Fantasy, Action, Horror",7.083
77,2001-05-04,The Mummy Returns,"Brendan Fraser, Rachel Weisz, John Hannah, Oded Fehr",Stephen Sommers,"Adventure, Action, Fantasy",6.37
78,2019-04-10,Hellboy,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",Neil Marshall,"Fantasy, Horror, Action, Adventure",5.55
79,2021-05-26,Cruella,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser",Craig Gillespie,"Comedy, Crime",8.026
80,2012-06-23,The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Martin Sheen",Marc Webb,"Action, Adventure, Science Fiction",6.697
81,2016-11-29,La La Land,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt",Damien Chazelle,"Comedy, Drama, Romance, Music",7.901
82,2009-06-02,The Hangover,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Todd Phillips,Comedy,7.319
83,2011-05-25,The Hangover Part II,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Todd Phillips,Comedy,6.476
84,2008-06-12,The Incredible Hulk,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",Louis Leterrier,"Science Fiction, Action, Adventure",6.207
85,1998-07-01,American History X,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",Tony Kaye,Drama,8.346
86,2018-09-05,The Nun,"Taissa Farmiga, Demián Bichir, Bonnie Aarons, Jonas Bloquet",Corin Hardy,Horror,5.9
87,2015-12-25,The Hateful Eight,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Quentin Tarantino,"Drama, Mystery, Western",7.751
88,2017-05-09,Alien: Covenant,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",Ridley Scott,"Science Fiction, Horror, Mystery",6.101
89,2018-08-24,Searching,"John Cho, Michelle La, Debra Messing, Joseph Lee",Aneesh Chaganty,"Thriller, Mystery, Drama",7.584
90,2004-05-30,Harold & Kumar Go to White Castle,"John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris",Danny Leiner,"Comedy, Adventure",6.5
91,2013-05-05,Star Trek Into Darkness,"Chris Pine, Zachary Quinto, Zoe Saldaña, Karl Urban",J.J. Abrams,"Action, Adventure, Science Fiction",7.327
92,2018-01-03,Insidious: The Last Key,"Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo",Adam Robitel,"Horror, Mystery, Thriller",6.254
93,2011-03-31,Insidious,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins",James Wan,"Horror, Thriller",6.944
94,2015-05-28,Insidious: Chapter 3,"Stefanie Scott, Lin Shaye, Dermot Mulroney, Leigh Whannell",Leigh Whannell,"Horror, Thriller, Mystery",6.279
95,2009-09-08,Pandorum,"Ben Foster, Dennis Quaid, Cam Gigandet, Antje Traue",Christian Alvart,"Action, Horror, Mystery, Science Fiction, Thriller",6.552
96,2011-01-13,The Mechanic,"Jason Statham, Ben Foster, Donald Sutherland, Mini Anden",Simon West,"Action, Thriller, Crime",6.507
97,2011-07-22,Captain America: The First Avenger,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell",Joe Johnston,"Action, Adventure, Science Fiction",6.999
98,2014-10-01,Dracula Untold,"Luke Evans, Dominic Cooper, Sarah Gadon, Charles Dance",Gary Shore,"Horror, Action, Fantasy",6.4
99,2014-03-12,Need for Speed,"Aaron Paul, Dominic Cooper, Imogen Poots, Kid Cudi",Scott Waugh,"Action, Crime, Drama, Thriller",6.407
100,1995-06-16,Batman Forever,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",Joel Schumacher,"Action, Crime, Fantasy",5.42
101,1998-12-16,The Prince of Egypt,"Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock",Brenda Chapman,"Adventure, Animation, Drama, Family",7.271
102,1986-05-16,Top Gun,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards",Tony Scott,"Drama, Action, Adventure",7.054
103,2004-02-25,The Passion of the Christ,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",Mel Gibson,Drama,7.489
104,1998-12-23,The Thin Red Line,"Jim Caviezel, Ben Chaplin, Dash Mihok, Woody Harrelson",Terrence Malick,"Drama, History, War",7.445
105,2023-07-03,Sound of Freedom,"Jim Caviezel, Mira Sorvino, Bill Camp, Gerardo Taracena",Alejandro Gómez Monteverde,"Action, Drama",8.041
106,2013-12-25,Nymphomaniac: Vol. II,"Charlotte Gainsbourg, Stellan Skarsgård, Shia LaBeouf, Willem Dafoe",Lars von Trier,"Drama, Mystery",6.743
107,2017-05-30,Wonder Woman,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Patty Jenkins,"Action, Adventure, Fantasy",7.23
108,2011-11-21,WWE Survivor Series 2011,"John Cena, Randy Orton, Eve Torres, Dwayne Johnson",Kevin Dunn,"Action, Drama",7.4
109,2009-07-15,Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Rupert Grint, Emma Watson, Jim Broadbent",David Yates,"Adventure, Fantasy",7.692
110,2012-10-26,Cloud Atlas,"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving",Lana Wachowski,"Drama, Science Fiction",6.884
111,2007-08-03,The Bourne Ultimatum,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Paul Greengrass,"Action, Drama, Mystery, Thriller",7.428
112,2013-07-18,The World's End,"Simon Pegg, Nick Frost, Martin Freeman, Paddy Considine",Edgar Wright,"Comedy, Action, Science Fiction",6.796
113,2016-07-11,Sausage Party,"Seth Rogen, Kristen Wiig, Jonah Hill, Bill Hader",Greg Tiernan,"Adventure, Animation, Comedy, Fantasy",5.743
114,2014-05-08,Neighbors,"Seth Rogen, Zac Efron, Rose Byrne, Dave Franco",Nicholas Stoller,Comedy,6.182
115,2016-05-04,Neighbors 2: Sorority Rising,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz",Nicholas Stoller,Comedy,5.819
116,2016-02-11,Zootopia,"Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate",Rich Moore,"Animation, Adventure, Family, Comedy",7.748
117,2011-07-08,Horrible Bosses,"Jason Bateman, Charlie Day, Jason Sudeikis, Kevin Spacey",Seth Gordon,"Comedy, Crime",6.6
118,2018-02-15,Game Night,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",Jonathan Goldstein,"Mystery, Comedy, Crime",6.853
119,2013-08-16,The Butler,"Forest Whitaker, Oprah Winfrey, David Oyelowo, John Cusack",Lee Daniels,Drama,7.345
120,2014-12-16,Taken 3,"Liam Neeson, Forest Whitaker, Maggie Grace, Dougray Scott",Olivier Megaton,"Thriller, Action",6.245
121,2017-09-01,Call Me by Your Name,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar",Luca Guadagnino,"Romance, Drama",8.2
122,2016-10-25,Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",Scott Derrickson,"Action, Adventure, Fantasy",7.424
123,2010-05-19,Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",Mike Newell,"Adventure, Fantasy, Action",6.277
124,2010-03-26,Clash of the Titans,"Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos",Louis Leterrier,"Adventure, Fantasy, Action",5.888
125,2008-02-18,Taken,"Liam Neeson, Maggie Grace, Leland Orser, Famke Janssen",Pierre Morel,"Action, Thriller",7.391
126,2003-04-27,X2,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",Bryan Singer,"Adventure, Action, Science Fiction",7.029
127,2006-05-24,X-Men: The Last Stand,"Hugh Jackman, Ian McKellen, Patrick Stewart, Famke Janssen",Brett Ratner,"Adventure, Action, Science Fiction, Thriller",6.408
128,1972-02-06,Florentiner 73,"Edda Dentges, Anne Wollner, Agnes Kraus, Steffie Spira",Klaus Gendries,"Comedy, Drama",6.1
129,2009-09-04,Reykjavik Whale Watching Massacre,"Gunnar Hansen, Pihla Viitala, Nae Yuuki, Terence Anderson",Júlíus Kemp,"Comedy, Horror",4.6
130,2014-08-21,If I Stay,"Chloë Grace Moretz, Jamie Blackley, Liana Liberato, Mireille Enos",R.J. Cutler,Drama,7.374
131,2016-04-27,Captain America: Civil War,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Joe Russo,"Adventure, Action, Science Fiction",7.441
132,2014-03-20,Captain America: The Winter Soldier,"Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie",Joe Russo,"Action, Adventure, Science Fiction",7.666
133,2010-02-14,Shutter Island,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",Martin Scorsese,"Drama, Thriller, Mystery",8.202
134,2011-04-21,Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",Kenneth Branagh,"Adventure, Fantasy, Action",6.766
135,2017-10-02,Thor: Ragnarok,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Tessa Thompson",Taika Waititi,"Action, Adventure, Science Fiction",7.593
136,2013-10-30,Thor: The Dark World,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",Alan Taylor,"Action, Adventure, Fantasy",6.529
137,2013-09-19,Prisoners,"Hugh Jackman, Jake Gyllenhaal, Terrence Howard, Viola Davis",Denis Villeneuve,"Drama, Thriller, Crime",8.094
138,1998-03-06,The Big Lebowski,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",Ethan Coen,"Comedy, Crime",7.843
139,2010-12-14,TRON: Legacy,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",Joseph Kosinski,"Adventure, Action, Science Fiction",6.5
140,2021-09-15,Dune,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin",Denis Villeneuve,"Science Fiction, Adventure",7.8
141,2019-10-11,The King,"Timothée Chalamet, Joel Edgerton, Sean Harris, Tom Glynn-Carney",David Michôd,"Drama, History, War",7.154
142,2019-08-08,Dora and the Lost City of Gold,"Isabela Merced, Jeffrey Wahlberg, Madeleine Madden, Eugenio Derbez",James Bobin,"Adventure, Comedy, Family, Fantasy",6.66
143,2017-06-16,Transformers: The Last Knight,"Mark Wahlberg, Josh Duhamel, Stanley Tucci, Anthony Hopkins",Michael Bay,"Action, Adventure, Science Fiction",6.053
144,2019-11-08,Let It Snow,"Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson",Luke Snellin,"Romance, Comedy",6.1
145,2008-10-24,Changeling,"Angelina Jolie, John Malkovich, Jeffrey Donovan, Michael Kelly",Clint Eastwood,"Crime, Drama, Mystery",7.594
146,2002-09-17,The Pianist,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman",Roman Polanski,"Drama, War",8.381
147,2010-07-03,Predators,"Adrien Brody, Topher Grace, Alice Braga, Oleg Taktarov",Nimród Antal,"Science Fiction, Action, Thriller",6.246
148,2017-06-28,Okja,"Tilda Swinton, Ahn Seo-hyun, Paul Dano, Jake Gyllenhaal",Bong Joon-ho,"Adventure, Drama, Science Fiction",7.375
149,2011-09-28,We Need to Talk About Kevin,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",Lynne Ramsay,"Drama, Thriller",7.558
150,2015-10-26,Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Sam Mendes,"Action, Adventure, Thriller",6.54
151,2021-09-29,No Time to Die,"Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch",Cary Joji Fukunaga,"Action, Adventure, Thriller",7.381
152,2013-10-09,Blue Is the Warmest Color,"Adèle Exarchopoulos, Léa Seydoux, Salim Kéchiouche, Aurélien Recoing",Abdellatif Kechiche,"Romance, Drama",7.086
153,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites",Espen Sandberg,"Adventure, Action, Fantasy",6.652
154,1997-07-02,Men in Black,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio",Barry Sonnenfeld,"Action, Adventure, Comedy, Science Fiction",7.192
155,2012-05-23,Men in Black 3,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",Barry Sonnenfeld,"Action, Comedy, Science Fiction",6.516
156,2009-10-07,Zombieland,"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",Ruben Fleischer,"Comedy, Horror",7.259
157,2019-10-09,Zombieland: Double Tap,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin",Ruben Fleischer,"Comedy, Horror",6.939
158,2012-03-12,The Hunger Games,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Gary Ross,"Science Fiction, Adventure, Fantasy",7.205
159,2016-02-09,Deadpool,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller",Tim Miller,"Action, Adventure, Comedy",7.611
160,2020-07-29,Greenland,"Gerard Butler, Morena Baccarin, David Denman, Hope Davis",Ric Roman Waugh,"Action, Thriller, Drama",7.14
161,2021-03-24,Godzilla vs. Kong,"Alexander Skarsgård, Rebecca Hall, Kaylee Hottle, Brian Tyree Henry",Adam Wingard,"Action, Science Fiction, Thriller",7.6
162,2016-03-31,Hunt for the Wilderpeople,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",Taika Waititi,"Adventure, Comedy, Drama",7.7
163,2017-10-04,Blade Runner 2049,"Ryan Gosling, Harrison Ford, Sylvia Hoeks, Ana de Armas",Denis Villeneuve,"Science Fiction, Drama",7.556
164,2011-09-15,Drive,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nicolas Winding Refn,"Drama, Thriller, Crime",7.577
165,2003-03-03,Mystic River,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",Clint Eastwood,"Thriller, Crime, Drama, Mystery",7.741
166,2003-09-06,21 Grams,"Sean Penn, Naomi Watts, Danny Huston, Carly Nahon",Alejandro González Iñárritu,"Drama, Crime, Thriller",7.333
167,1991-11-13,Cape Fear,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis",Martin Scorsese,"Crime, Thriller",7.262
168,2011-09-09,Warrior,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison",Gavin O'Connor,"Drama, Action",7.842
169,1982-12-07,48 Hrs.,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae",Walter Hill,"Thriller, Action, Comedy, Crime, Drama",6.7
170,1975-03-07,Mirror,"Margarita Terekhova, Ignat Daniltsev, Larisa Tarkovskaya, Alla Demidova",Andrei Tarkovsky,"Drama, History",7.972
171,2018-03-23,Isle of Dogs,"Bryan Cranston, Koyu Rankin, Bob Balaban, Edward Norton",Wes Anderson,"Adventure, Comedy, Animation",7.848
172,1990-12-07,Edward Scissorhands,"Johnny Depp, Winona Ryder, Dianne Wiest, Alan Arkin",Tim Burton,"Fantasy, Drama, Romance",7.715
173,1997-09-07,Gattaca,"Ethan Hawke, Uma Thurman, Jude Law, Alan Arkin",Andrew Niccol,"Thriller, Science Fiction, Mystery, Romance",7.557
174,2014-02-26,Non-Stop,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",Jaume Collet-Serra,"Action, Thriller, Mystery",6.809
175,2016-03-23,Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Jesse Eisenberg, Gal Gadot",Zack Snyder,"Action, Adventure, Fantasy",5.964
176,2016-01-14,13 Hours: The Secret Soldiers of Benghazi,"John Krasinski, James Badge Dale, Dominic Fumusa, Max Martini",Michael Bay,"War, Action, History, Drama",7.276
