MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
344,1997-05-02,The Fifth Element,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",Luc Besson,"Adventure, Fantasy, Action, Thriller, Science Fiction",7.543
345,2004-09-10,Resident Evil: Apocalypse,"Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann",Alexander Witt,"Horror, Action, Science Fiction",6.338
346,2014-10-22,John Wick,"Keanu Reeves, Michael Nyqvist, Ian McShane, John Leguizamo",Chad Stahelski,"Action, Thriller",7.4
347,2017-02-08,John Wick: Chapter 2,"Keanu Reeves, Common, Ian McShane, Laurence Fishburne",Chad Stahelski,"Action, Thriller, Crime",7.326
348,2019-05-15,John Wick: Chapter 3 - Parabellum,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne",Chad Stahelski,"Action, Thriller, Crime",7.442
349,2016-09-30,American Honey,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",Andrea Arnold,Drama,6.8
350,2018-07-18,The Miseducation of Cameron Post,"Chloë Grace Moretz, John Gallagher Jr., Sasha Lane, Forrest Goodluck",Desiree Akhavan,Drama,6.9
351,2012-06-21,Brave,"Kelly Macdonald, Emma Thompson, Billy Connolly, Julie Walters",Mark Andrews,"Animation, Adventure, Comedy, Family, Action, Fantasy",7.017
352,2013-11-29,Saving Mr. Banks,"Emma Thompson, Tom Hanks, Colin Farrell, Paul Giamatti",John Lee Hancock,"Comedy, Drama, History",7.3
353,2019-06-26,Yesterday,"Himesh Patel, Lily James, Sophia di Martino, Ellise Chappell",Danny Boyle,"Comedy, Fantasy, Music, Romance",6.704
354,2021-04-16,In the Earth,"Joel Fry, Ellora Torchia, Hayley Squires, Reece Shearsmith",Ben Wheatley,"Horror, Science Fiction, Thriller",5.7
355,2019-12-13,Richard Jewell,"Paul Walter Hauser, Jon Hamm, Kathy Bates, Sam Rockwell",Clint Eastwood,Drama,7.427
356,2017-12-08,"I, Tonya","Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",Craig Gillespie,"Drama, Comedy",7.496
357,2021-12-22,The King's Man,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Matthew Goode",Matthew Vaughn,"Action, Comedy, Adventure, Thriller",6.771
358,1979-08-15,Apocalypse Now,"Martin Sheen, Frederic Forrest, Albert Hall, Laurence Fishburne",Francis Ford Coppola,"Drama, War",8.283
359,2002-12-16,Catch Me If You Can,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",Steven Spielberg,"Drama, Crime",7.977
360,2021-04-22,The Mitchells vs. the Machines,"Abbi Jacobson, Danny McBride, Maya Rudolph, Mike Rianda",Mike Rianda,"Animation, Adventure, Comedy",7.917
361,2019-09-20,Between Two Ferns: The Movie,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani",Scott Aukerman,Comedy,6.0
362,2015-05-20,Poltergeist,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett",Gil Kenan,Horror,5.204
363,2018-05-17,The Professor,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston",Wayne Roberts,"Comedy, Drama",6.8
364,2013-05-23,The Hangover Part III,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Todd Phillips,Comedy,6.207
365,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin",Peter Jackson,"Adventure, Fantasy, Action",8.411
366,2008-05-29,The Strangers,"Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks",Bryan Bertino,"Horror, Mystery, Thriller",6.105
367,1992-09-02,Reservoir Dogs,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",Quentin Tarantino,"Crime, Thriller",8.128
368,2007-09-21,Into the Wild,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone",Sean Penn,"Adventure, Drama",7.8
369,1991-07-03,Terminator 2: Judgment Day,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron,"Action, Thriller, Science Fiction",8.111
370,1992-08-28,Pet Sematary II,"Edward Furlong, Anthony Edwards, Clancy Brown, Jared Rushton",Mary Lambert,Horror,5.363
371,1989-11-30,National Lampoon's Christmas Vacation,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki",Jeremiah S. Chechik,Comedy,7.222
372,1983-07-29,National Lampoon's Vacation,"Chevy Chase, Beverly D'Angelo, Anthony Michael Hall, Imogene Coca",Harold Ramis,"Comedy, Adventure",7.122
373,1967-11-02,Cervantes,"Horst Buchholz, Gina Lollobrigida, José Ferrer, Louis Jourdan",Vincent Sherman,Adventure,7.6
374,2012-11-16,Silver Linings Playbook,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",David O. Russell,"Drama, Comedy, Romance",7.137
375,2023-09-06,The Nun II,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell",Michael Chaves,"Horror, Mystery",6.82
